customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,IsSeniorCitizen
8191-XWSZG,Female,-0.43991649313097614,No,No,0.7992939660427822,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,-1.4660935640654862,-1.1718397394117004,No,0
9959-WOFKT,Male,-0.43991649313097614,No,Yes,1.5729808767233588,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),1.393859073220412,2.192513667023052,No,0
4190-MFLUW,Female,-0.43991649313097614,Yes,Yes,-0.9109613101984924,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.31779183695069496,0.28949606815899076,Yes,0
4183-MYFRB,Female,-0.43991649313097614,No,No,-0.46303730927815856,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.8404806721650927,-0.3891739089396226,No,0
8779-QRDMV,Male,2.273158691738958,No,No,-1.2774445836787656,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,-0.8346107040023594,1.0661689233081355,Yes,0
1680-VDCWW,Male,-0.43991649313097614,Yes,No,-0.8295205827584317,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),-1.4943441130683104,1.2395891995140564,No,0
1066-JKSGK,Male,-0.43991649313097614,No,No,-1.2774445836787656,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4827115340671475,1.894081818352111,Yes,0
3638-WEABW,Female,-0.43991649313097614,Yes,No,1.0436161483629645,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),-0.1615829189350795,-0.1686305435002728,No,0
6322-HRPFA,Male,-0.43991649313097614,Yes,Yes,0.6771328748826912,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),-0.17155370093607614,-0.11616465071161068,No,0
6865-JZNKO,Female,-0.43991649313097614,No,No,-0.0965540357978854,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),-0.31446824295036285,0.03036317798712746,No,0
6467-CHFZW,Male,-0.43991649313097614,Yes,Yes,0.5956921474426305,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1495749141959914,0.6847927492835879,Yes,0
8665-UTDHZ,Male,-0.43991649313097614,Yes,Yes,-1.2774445836787656,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,-1.1486903370337564,1.467388249367908,Yes,0
5248-YGIJN,Male,-0.43991649313097614,Yes,No,1.6137012404433893,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.8471278601657574,1.3670112787636366,No,0
8773-HHUOZ,Female,-0.43991649313097614,No,Yes,-0.62591876415828,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,-0.0020504069191315333,0.0012833881648443956,Yes,0
3841-NFECX,Female,2.273158691738958,Yes,No,1.5729808767233588,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),1.0498670941860242,1.6514208622557376,No,0
4929-XIHVW,Male,2.273158691738958,Yes,No,-1.2367242199587352,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.0216165451832002,-1.2634579249386313,No,0
6827-IEAUQ,Female,-0.43991649313097614,Yes,Yes,-0.21871512695797646,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,0.046141706085686136,-0.010091889104588478,No,0
7310-EGVHZ,Male,-0.43991649313097614,No,No,-1.2774445836787656,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),-1.481049737066981,1.8919589647750747,No,0
3413-BMNZE,Male,2.273158691738958,No,No,-1.2774445836787656,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),-0.6484894399837535,0.8284093226801218,No,0
6234-RAAPL,Female,-0.43991649313097614,Yes,Yes,1.6137012404433893,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),1.1678546811978192,1.8845685477065397,No,0
6047-YHPVI,Male,-0.43991649313097614,No,No,-1.1145631287986442,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.16412929309748078,-0.1829324584422379,Yes,0
6572-ADKRS,Female,-0.43991649313097614,No,No,0.5549717837226001,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0.33363258711442517,0.1851566719788783,No,0
5380-WJKOV,Male,-0.43991649313097614,No,No,0.06632741908223598,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.3822264942192488,0.09167951594864994,Yes,0
8168-UQWWF,Female,-0.43991649313097614,No,No,-0.8702409464784621,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.099721004191008,-0.9570222475494274,Yes,0
8865-TNMNX,Male,-0.43991649313097614,Yes,Yes,-0.9109613101984924,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,-0.5055748979694671,0.46055917145773484,No,0
9489-DEDVP,Female,-0.43991649313097614,Yes,Yes,1.5322605130033284,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),0.14751132309581955,0.2260257756006002,No,0
9867-JCZSP,Female,-0.43991649313097614,Yes,Yes,-0.62591876415828,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,-1.462769970065154,0.9155751719110253,No,0
4671-VJLCL,Female,-0.43991649313097614,No,No,1.247217966963116,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.5014740841312035,0.6254474876948103,No,0
4080-IIARD,Female,-0.43991649313097614,Yes,No,-0.7888002190384014,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.3801629031190768,-0.29987258125060234,No,0
3714-NTNFO,Female,-0.43991649313097614,No,No,0.6771328748826912,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6560212051466532,0.44421352462496105,No,0
5948-UJZLF,Male,-0.43991649313097614,No,No,-1.2367242199587352,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,-0.5155456799704636,0.6375878289145673,No,0
7760-OYPDY,Female,-0.43991649313097614,No,No,-1.2367242199587352,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.5280628361338618,-0.6530680991068477,Yes,0
7639-LIAYI,Male,-0.43991649313097614,No,No,0.7992939660427822,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.4981504901308714,0.39816868094286006,No,0
2954-PIBKO,Female,-0.43991649313097614,Yes,Yes,1.4915401492832983,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),-0.020330173920958795,-0.0303232706450223,No,0
8012-SOUDQ,Female,2.273158691738958,No,No,0.43281069256250915,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.8471278601657574,0.36664599584733787,No,0
9420-LOJKX,Female,-0.43991649313097614,No,No,-0.7073594915983407,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.141265929195161,-0.807285287453997,Yes,0
6575-SUVOI,Female,2.273158691738958,Yes,No,-0.30015585439803716,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0.1574821050968162,-0.047269175807736354,No,0
7495-OOKFY,Female,2.273158691738958,Yes,No,-0.9924020376385531,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.5280628361338618,-0.5240506345804379,Yes,0
4667-QONEA,Female,2.273158691738958,Yes,Yes,1.125056875803025,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),0.33529438411459117,0.37722525226626136,No,0
1658-BYGOY,Male,2.273158691738958,No,No,-0.5851984004382496,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0199547481830342,-0.5968758871561093,Yes,0
8769-KKTPH,Female,-0.43991649313097614,Yes,Yes,1.247217966963116,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),1.1595456961969886,1.446206225811639,No,0
5067-XJQFU,Male,2.273158691738958,Yes,Yes,1.369379058123207,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,1.4520219682262263,1.988368475223835,No,0
3957-SQXML,Female,-0.43991649313097614,Yes,Yes,0.06632741908223598,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.3231790220511994,-0.08776304951641306,No,0
5954-BDFSG,Female,-0.43991649313097614,No,No,1.6137012404433893,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1.42044782522307,2.2921784175475826,No,0
0434-CSFON,Female,-0.43991649313097614,Yes,No,0.5956921474426305,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1877962451998125,0.7075608960273697,No,0
1215-FIGMP,Male,-0.43991649313097614,No,No,1.125056875803025,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0.8354952811645946,0.9399797107752088,No,0
0526-SXDJP,Male,-0.43991649313097614,Yes,No,1.6137012404433893,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),-0.7531826509942192,-1.215411778189812,No,0
0557-ASKVU,Female,-0.43991649313097614,Yes,Yes,-0.5851984004382496,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),-0.34438058895335305,0.20153096979748453,No,0
5698-BQJOH,Female,-0.43991649313097614,No,No,-0.9516816739185228,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.9850570111795457,-0.9374607053045271,Yes,0
5122-CYFXA,Female,-0.43991649313097614,No,No,-1.1960038562387048,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.3502505571160864,-0.418901016960594,No,0
8627-ZYGSZ,Male,-0.43991649313097614,Yes,No,0.5956921474426305,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,0.46989994112804756,0.2799157050137323,No,0
3410-YOQBQ,Female,-0.43991649313097614,No,No,-0.055833672077855064,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,0.47987072312904416,-0.02679294459495023,No,0
3170-NMYVV,Female,-0.43991649313097614,Yes,Yes,0.7178532386027215,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.4827115340671475,-1.0643692766437114,No,0
7410-OIEDU,Male,-0.43991649313097614,No,No,-0.9109613101984924,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,0.5014740841312035,-0.4568234887107502,No,0
2273-QCKXA,Male,-0.43991649313097614,No,No,-1.2774445836787656,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,-0.5221928679711283,0.6670724508253986,No,0
0731-EBJQB,Female,-0.43991649313097614,Yes,Yes,0.7992939660427822,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,-1.4744025490663168,-1.1784810609868042,No,0
1891-QRQSA,Male,2.273158691738958,Yes,Yes,1.2879383306831464,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.5567151792366918,2.0049531492952197,No,0
8028-PNXHQ,Male,-0.43991649313097614,Yes,Yes,1.2064976032430856,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.3464441800535252,-1.6244816761351797,No,0
5630-AHZIL,Female,-0.43991649313097614,No,Yes,-1.1960038562387048,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),-0.00869759491979612,0.010402357064078329,No,0
2673-CXQEU,Female,2.273158691738958,No,No,0.9621754209229036,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,1.5201556452330371,1.4626563978204257,No,0
6416-JNVRK,Female,-0.43991649313097614,No,No,0.5549717837226001,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),-0.3028356639492,-0.16806524859670544,No,0
5590-ZSKRV,Female,-0.43991649313097614,Yes,Yes,-0.9924020376385531,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,-0.33607160395252245,0.33351814455494005,No,0
0191-ZHSKZ,Male,2.273158691738958,No,No,-0.0965540357978854,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.3319707901142591,-0.03205311955254448,No,0
3887-PBQAO,Female,-0.43991649313097614,Yes,Yes,0.5142514200025698,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),-1.2916048790480432,-0.6642096431327037,No,0
5919-TMRGD,Female,-0.43991649313097614,No,Yes,-1.2774445836787656,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.48485611412954227,-0.6193768168583171,Yes,0
8108-UXRQN,Female,-0.43991649313097614,Yes,Yes,-0.8702409464784621,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,-0.47233895796614456,0.41104870183910813,No,0
9191-MYQKX,Female,-0.43991649313097614,Yes,No,-1.0331224013585834,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.34526516611558833,-0.3567011775228068,Yes,0
9919-YLNNG,Female,-0.43991649313097614,No,No,0.3920903288424788,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.2974748472107767,0.5087273395077183,No,0
0318-ZOPWS,Female,-0.43991649313097614,Yes,No,0.6771328748826912,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-1.4827115340671475,-1.003992723684613,No,0
4445-ZJNMU,Male,-0.43991649313097614,No,No,-0.9516816739185228,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.1479131171958254,-1.0924478768859525,No,0
4808-YNLEU,Female,-0.43991649313097614,Yes,No,0.10704778280226633,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),-0.08680205392760396,-0.009291967415632757,No,0
1862-QRWPE,Female,-0.43991649313097614,Yes,Yes,0.6364125111626608,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.4660935640654862,-0.9330402867063314,No,0
2796-NNUFI,Female,-0.43991649313097614,Yes,Yes,0.5549717837226001,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,-1.4893587220678117,-0.8265520665887858,No,0
3016-KSVCP,Male,-0.43991649313097614,Yes,No,-0.13727439951791576,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,-1.0307027500219619,0.14148910109072924,No,0
4767-HZZHQ,Male,-0.43991649313097614,Yes,Yes,-0.0965540357978854,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),0.574593152138513,-0.0554792877808018,No,0
2424-WVHPL,Male,2.273158691738958,No,No,-1.2774445836787656,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,0.3303089931140931,-0.42195143419398495,No,0
7233-PAHHL,Male,-0.43991649313097614,Yes,Yes,1.369379058123207,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,0.6394032351449919,0.8755853999037805,No,0
6067-NGCEU,Female,-0.43991649313097614,No,No,1.3286586944031769,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.5384354122348645,2.044055586243588,No,0
9848-JQJTX,Male,-0.43991649313097614,No,No,1.6137012404433893,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.2010906212011416,1.9382014253172033,No,0
8637-XJIVR,Female,-0.43991649313097614,No,No,-0.8295205827584317,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.47156173812821356,-0.3911701678186946,Yes,0
9803-FTJCG,Male,-0.43991649313097614,Yes,Yes,1.5729808767233588,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),0.06940686408801149,0.10917566992377932,No,0
0278-YXOOG,Male,-0.43991649313097614,No,No,-1.1145631287986442,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4527991880641573,1.6192364085649171,Yes,0
3212-KXOCR,Male,-0.43991649313097614,No,No,0.7992939660427822,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),-1.4544609850643233,-1.1625418892065549,No,0
4598-XLKNJ,Female,2.273158691738958,Yes,No,-0.30015585439803716,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1213243651931677,-0.3365720728918919,Yes,0
6380-ARCEH,Male,-0.43991649313097614,No,No,-1.2774445836787656,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.481049737066981,1.8919589647750747,No,0
3679-XASPY,Female,-0.43991649313097614,Yes,Yes,-1.2774445836787656,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,-1.505976692069473,1.9238017684306126,No,0
7123-WQUHX,Male,-0.43991649313097614,No,No,0.22920887396235737,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),1.0049985751815391,0.23035459175113412,No,0
5386-THSLQ,Female,2.273158691738958,Yes,No,1.369379058123207,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),-0.6385186579827569,-0.8743740784625218,No,0
3192-NQECA,Male,-0.43991649313097614,Yes,No,1.4508197855632678,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.503537675231376,2.181362207565479,Yes,0
6180-YBIQI,Male,-0.43991649313097614,No,No,-1.1145631287986442,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,-1.3447823830533592,1.4988448604092488,No,0
6728-DKUCO,Female,-0.43991649313097614,Yes,Yes,1.6137012404433893,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,1.3091074262119398,2.1125082775518598,No,0
9750-BOOHV,Female,-0.43991649313097614,No,No,-0.015113308357824713,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,-1.150352134033923,0.01738562652173638,No,0
8597-CWYHH,Male,-0.43991649313097614,No,No,0.43281069256250915,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,0.9833952141793793,0.42562396371163413,No,0
2848-YXSMW,Male,-0.43991649313097614,Yes,Yes,1.6137012404433893,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),-1.5076384890696393,-2.432878099951874,No,0
0486-HECZI,Male,-0.43991649313097614,Yes,No,0.9214550572028734,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.0631614701873533,0.9796555133273785,Yes,0
4549-ZDQYY,Female,-0.43991649313097614,No,No,0.7992939660427822,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),-0.22639300194155818,-0.18095456040619934,No,0
5712-AHQNN,Female,-0.43991649313097614,No,No,0.43281069256250915,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.893658176170409,0.3867848141424635,No,0
4846-WHAFZ,Female,2.273158691738958,Yes,No,0.18848851024232702,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.39013368512007346,0.07353571710363176,Yes,0
5256-SKJGO,Female,-0.43991649313097614,Yes,Yes,1.2879383306831464,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,-0.33773340095268845,-0.4349797926389473,No,0
3071-VBYPO,Male,-0.43991649313097614,Yes,Yes,-1.1960038562387048,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,0.8338334841644282,-0.997268062521611,No,0
9560-BBZXK,Female,-0.43991649313097614,No,No,0.14776814652229667,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),-1.1204397880309327,-0.16556531076716588,No,0
5299-RULOA,Female,-0.43991649313097614,Yes,Yes,-0.9109613101984924,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.1794872601989819,-1.0744672599132945,Yes,0
8402-OOOHJ,Female,-0.43991649313097614,No,No,0.35136996512244845,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.4660935640654862,-0.515141244471936,No,0
9445-ZUEQE,Male,-0.43991649313097614,Yes,Yes,-0.21871512695797646,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),0.6792863631489789,-0.14857020315695102,No,0
1091-SOZGA,Female,-0.43991649313097614,Yes,Yes,0.9621754209229036,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),1.1645310871974868,1.1204831890020484,No,0
2928-HLDBA,Female,-0.43991649313097614,No,No,-1.0738427650786138,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.46443176706532,1.5725694580143836,No,0
0404-SWRVG,Male,-0.43991649313097614,No,No,-1.1960038562387048,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.32033821111309646,-0.38312573579187165,Yes,0
6497-TILVL,Female,-0.43991649313097614,Yes,Yes,-1.0331224013585834,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,-0.467353566965646,0.4828334393870477,No,0
7219-TLZHO,Female,-0.43991649313097614,Yes,Yes,-1.1552834925186746,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,-1.4594463760648215,1.68607430648389,No,0
4622-YNKIJ,Male,-0.43991649313097614,No,No,0.025607055362205634,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,0.8039211381614382,0.02058605309174731,No,0
4412-YLTKF,Female,2.273158691738958,No,No,-0.21871512695797646,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.44164939212522314,-0.0965954028695813,Yes,0
